,,,Resultant Columns to be filled with web scraping,,,,,,
ChEMBL ID(Protein),Name,UniProt Accessions,Compounds,ChEMBL ID (Drug),KEGG ID(Protein(eg has:1100)),DrugBank Drug ID with Drug Name,AA sequence save in word file,Drug .sdf file download and save it in a folder,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL4113107,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL4114422,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3907330,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3908443,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3935769,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3913851,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3983689,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL4111722,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3912450,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3891864,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3911383,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3968135,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3945037,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3982371,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3922840,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3893501,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3969230,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL4113163,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3935268,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3898791,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3964880,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL3897841,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1612527,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1374420,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1413443,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1256718,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1375082,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL407489,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1548600,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1586416,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL49623,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1448054,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL7889,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1571456,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL408653,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL195789,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL571295,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL456850,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL592712,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1374544,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL99408,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1500466,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1320669,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL313842,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL265686,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1540099,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL50267,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL876,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL393417,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL22373,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL606166,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1504701,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL441765,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL7162,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL240773,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL405317,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL418333,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL25856,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL284237,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL275084,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1677,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL445102,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL247378,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL45281,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL295124,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL654,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL281594,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL267014,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL416956,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL304818,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL391997,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL578512,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL267930,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1453,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL96,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL46469,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL407874,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1294,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL29197,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1563,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1626,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1123,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL39,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1448,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL322970,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL175,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1113,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL189,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL516,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL43,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL564,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL284328,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL12131,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL728,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL19224,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL21,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1467,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL841,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL429095,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL334255,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL445,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL415,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1401,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL567,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL23,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL95,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL633,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL964,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL22,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL496,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL563,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL310555,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL529,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL388590,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL998,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL221753,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL193,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL9514,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL184,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL103,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL76589,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL42,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL12089,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL118,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL9,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL107,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL54,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL104,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL126077,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL278041,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL185,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL44,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL1725279,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL157101,,,,,
